Secondary Structure(Helix),Secondary Structure(Strands),Secondary Structure(Coil),Solvent Accessibilty (Buried),Solvent Accesibilty(Exposed),Solvent Accesibilty(Intermediate),Label
0.182,0.485,0.333,0.576,0.182,0.242,-1
0.467,0.267,0.267,0.467,0.267,0.267,1
0.333,0.431,0.235,0.431,0.294,0.255,1
0.415,0.34,0.245,0.415,0.189,0.302,1
0.531,0.296,0.173,0.383,0.358,0.235,1
0.462,0.282,0.256,0.462,0.308,0.179,1
0.529,0.257,0.214,0.371,0.4,0.229,1
0.306,0.484,0.21,0.468,0.242,0.274,-1
0.231,0.538,0.231,0.538,0.231,0.308,1
0.395,0.326,0.279,0.628,0.186,0.14,-1
0.429,0.254,0.317,0.444,0.381,0.238,1
0.468,0.149,0.383,0.553,0.34,0.106,-1
0.75,0,0.25,0.25,0.75,0,1
0.627,0.209,0.164,0.313,0.343,0.254,1
0.375,0.375,0.25,0.375,0.375,0.25,-1
0.437,0.287,0.276,0.322,0.402,0.253,-1
0.436,0.077,0.487,0.513,0.231,0.282,1
0.494,0.224,0.282,0.365,0.329,0.329,-1
0.556,0.444,0,0.333,0.222,0.111,-1
0.333,0.353,0.314,0.431,0.275,0.235,-1
0.594,0.219,0.188,0.438,0.297,0.219,1
0.56,0.19,0.25,0.35,0.27,0.27,1
0.4,0.34,0.26,0.44,0.28,0.22,-1
0.412,0.362,0.225,0.55,0.25,0.225,-1
0.407,0.259,0.333,0.222,0.333,0.407,1
1,0,0,0.5,0.5,0,-1
0.306,0.355,0.339,0.387,0.403,0.29,1
0.477,0.349,0.174,0.349,0.36,0.221,1
0.455,0.364,0.182,0.455,0.409,0.136,1
0.44,0.319,0.242,0.462,0.319,0.165,-1
0.246,0.386,0.368,0.456,0.246,0.298,1
0.273,0.386,0.341,0.523,0.25,0.182,1
0.456,0.294,0.25,0.441,0.368,0.191,-1
0.463,0.299,0.239,0.403,0.269,0.209,1
0.535,0.239,0.225,0.479,0.338,0.155,-1
0.453,0.302,0.244,0.442,0.267,0.244,-1
0.353,0.353,0.294,0.471,0.294,0.235,1
0.268,0.39,0.341,0.512,0.22,0.22,-1
0.516,0.099,0.385,0.462,0.396,0.176,-1
0.366,0.341,0.293,0.585,0.171,0.195,-1
0.842,0.053,0.105,0.684,0.263,0.053,-1
0.475,0.293,0.232,0.374,0.273,0.232,1
0.222,0.444,0.333,0.444,0.111,0.333,1
0.426,0.37,0.204,0.407,0.37,0.259,1
0.557,0.258,0.186,0.515,0.186,0.175,-1
0.451,0.333,0.216,0.392,0.431,0.216,-1
0.661,0.258,0.081,0.435,0.484,0.048,-1
0.459,0.294,0.247,0.412,0.388,0.212,-1
0.452,0.167,0.381,0.571,0.357,0.071,-1
0.714,0.143,0.143,0.429,0.286,0.143,1
0.373,0.314,0.314,0.373,0.451,0.216,-1
0.507,0.282,0.211,0.465,0.366,0.141,-1
0.697,0.167,0.136,0.348,0.364,0.152,1
0.545,0.227,0.227,0.386,0.432,0.136,-1
0.583,0.333,0.083,0.583,0.083,0,-1
0.439,0.316,0.246,0.491,0.246,0.175,-1
